stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
8130324,4325,"Banner/Holts Chapel (OB)","",36.074375,-79.751034,,,0,,,0,,
8130325,4326,"Holts Chapel/Pine (OB)","",36.073482,-79.748394,,,0,,,0,,
8130326,4327,"Holts Chapel/Lowdermilk","",36.072514,-79.745874,,,0,,,0,,
8130327,4328,"Holts Chapel/Franklin","",36.072029,-79.741159,,,0,,,0,,
8130328,4329,"Franklin/Hope Valley","",36.073061,-79.740886,,,0,,,0,,
8130329,4595,"Franklin/Central","",36.076973,-79.740698,,,0,,,0,,
8130330,6034,"Franklin/Naco","",36.080796,-79.740492,,,0,,,0,,
8130765,4379,"Pyramid Village/Walmart","",36.108685,-79.755563,,,0,,,0,,
8130766,4380,"E Cone/Sands","",36.112736,-79.752931,,,0,,,0,,
8130767,4381,"16th/Price Graves Homes South Entrance","",36.11372,-79.748988,,,0,,,0,,
8130768,4382,"16th/Prince Graves North Entrance","",36.114559,-79.748675,,,0,,,0,,
8130769,4383,"16th/Joseph McNeil","",36.11671,-79.747502,,,0,,,0,,
8130770,4384,"2708 16th St","",36.117961,-79.74682,,,0,,,0,,
8130771,4385,"McKnight Mill/Gatesville","",36.119347,-79.747388,,,0,,,0,,
8130772,4386,"McKnight Mill/Utah","",36.118402,-79.751912,,,0,,,0,,
8130773,4387,"Sands/E Cone","",36.1147,-79.754651,,,0,,,0,,
8130774,4388,"N O Henry/E Cone","",36.113369,-79.758525,,,0,,,0,,
8130775,4389,"N O Henry/Twain","",36.116096,-79.755156,,,0,,,0,,
8130776,4390,"McKnight Mill/Trent","",36.118593,-79.754124,,,0,,,0,,
8130777,4391,"McKnight Mill/Martin","",36.118083,-79.759205,,,0,,,0,,
8130778,4392,"McKnight Mill/Summit","",36.117395,-79.762864,,,0,,,0,,
8130779,4393,"Summit/Twain","",36.115574,-79.764662,,,0,,,0,,
8130782,4394,"E Cone/O Henry Shopping Center","",36.11355,-79.76754,,,0,,,0,,
8130783,4395,"E Cone/Bernard","",36.113655,-79.769744,,,0,,,0,,
8130784,4396,"E Cone/Glenroy","",36.113626,-79.773604,,,0,,,0,,
8130785,4397,"Yanceyville/E Cone (IB)","",36.112492,-79.7756,,,0,,,0,,
8130786,4398,"Yanceyville/Lake Spring","",36.10973,-79.774753,,,0,,,0,,
8130787,4399,"Yanceyville/14th","",36.107298,-79.774923,,,0,,,0,,
8130788,4400,"Yanceyville/Water (IB)","",36.102809,-79.775266,,,0,,,0,,
8130789,4401,"Yanceyville/Revolution Mill (IB)","",36.100401,-79.775276,,,0,,,0,,
8130790,4402,"Yanceyville/Textile","",36.097477,-79.776253,,,0,,,0,,
8130791,4403,"Yanceyville/US Post Office (IB)","",36.094466,-79.780042,,,0,,,0,,
8130792,4405,"4th/Summit","",36.090382,-79.773205,,,0,,,0,,
8130793,4406,"Summit/3rd","",36.089162,-79.774098,,,0,,,0,,
8130794,4407,"Summit/NE Shopping Center (IB)","",36.086547,-79.775935,,,0,,,0,,
