trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
3548,5918,1,To Downtown Depot,"",1,403587,21528,
3549,5936,2,To Downtown Depot,"",1,403628,21555,
3550,5925,1,To Downtown Depot,"",1,403596,21550,
3552,5918,1,Friendly Ave. - Outbound to Friends Home,"",0,403587,21527,
3553,5934,1,To Downtown Depot,"",1,403603,21559,
3554,5910,1,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403577,21524,
3555,5919,1,Battleground Ave,"",0,403583,21537,
3556,5910,1,To Downtown Depot,"",1,403578,21518,
3557,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403568,23842,
3559,5914,1,Gorrell St. - Outbound to Franklin Blvd,"",0,403583,21523,
3560,6084,4,Hopper Trolley,"",0,403634,24960,
3561,5916,1,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403582,21529,
3562,5910,2,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403616,21524,
3563,5934,2,To Downtown Depot,"",1,403629,21559,
3564,5916,1,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403581,21529,
3565,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403571,23842,
3566,6084,3,Hopper Trolley,"",0,403630,24960,
3567,5914,2,To Downtown Depot,"",1,403618,21522,
3568,5936,2,To Downtown Depot,"",1,403628,21555,
3569,5919,1,8 Inbound To Depot,"",1,403585,24464,
3570,5936,1,To Downtown Depot,"",1,403602,21555,
3571,5934,1,To Downtown Depot,"",1,403603,21559,
3573,5935,1,To Downtown Depot,"",1,403600,21553,
3574,5919,2,8 Inbound to Depot,"",1,403621,24493,
3575,5913,1,To Downtown Depot,"",1,403581,21531,
3576,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403568,23841,
3577,5925,2,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403626,21548,
3578,5935,1,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403599,21554,
3579,5910,1,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403577,21524,
3580,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403593,21545,
3581,5906,1,To Downtown Depot,"",1,403576,21519,
3582,5914,1,Gorrell St. - Outbound to Franklin Blvd,"",0,403584,21523,
3583,6084,4,Hopper Trolley,"",1,403634,24961,
3584,5934,1,Lawndale Dr. - Outbound to Cottage Pl,"",0,403603,21560,
3585,6084,4,Hopper Trolley,"",1,403637,24961,
3586,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403609,23842,
3587,5916,1,To Downtown Depot,"",1,403582,21535,
3588,5910,2,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403616,21524,
3589,6084,4,Hopper Trolley,"",1,403636,24961,
359,5919,1,Battleground Ave,"",0,403583,21537,
3590,5920,2,Guilford college,"",0,403622,21541,
3591,5925,2,To Downtown Depot,"",1,403625,21550,
3592,5910,2,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403616,21524,
3593,5910,1,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403578,21524,
3594,5924,2,Randleman Rd. - Outbound to Elmsley Dr.,"",0,403625,21549,
3595,5922,2,To Downtown Depot,"",1,403623,21543,
3596,5925,2,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403626,21548,
3597,6084,3,Hopper Trolley,"",1,403632,24961,
3598,5920,1,Guilford college,"",0,403590,21541,
3599,5924,1,Randleman Rd. - Outbound to Elmsley Dr.,"",0,403597,21549,
3600,6084,4,Hopper Trolley,"",0,403636,24960,
3601,5916,2,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403619,21529,
3602,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403582,21525,
3603,5920,2,To Downtown Depot,"",1,403622,21539,
3604,6349,2,WESTBOUND TO SAPP ROAD,"",1,403607,23843,
3605,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403580,21525,
3606,5927,1,Route 12A,"",0,403594,22077,
3607,5918,1,To Downtown Depot,"",1,403588,21528,
3608,5920,2,Guilford college,"",0,403622,21541,
3609,6349,2,WESTBOUND TO KOGER BLVD.,"",1,403610,23844,
3610,5910,1,To Downtown Depot,"",1,403577,21518,
3611,5916,1,To Downtown Depot,"",1,403580,21535,
3612,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403596,21548,
3614,5919,2,8 Inbound to Depot,"",1,403621,24493,
3615,5918,1,To Downtown Depot,"",1,403588,21528,
3616,5914,2,To Downtown Depot,"",1,403618,21522,
3617,5925,2,To Downtown Depot,"",1,403625,21550,
3618,5927,2,Route 12A,"",0,403624,22077,
3619,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403608,23841,
362,6084,4,Hopper Trolley,"",0,403637,24960,
3620,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403610,23842,
3621,5914,1,To Downtown Depot,"",1,403584,21534,
3622,5914,2,To Downtown Depot,"",1,403618,21522,
3623,5925,2,To Downtown Depot,"",1,403625,21550,
3624,5906,1,Four Seasons - Outbound to Four Seasons,"",0,403576,21520,
3625,5935,1,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403600,21554,
3626,5919,1,8 Inbound To Depot,"",1,403584,24464,
3627,5936,2,To Downtown Depot,"",1,403628,21555,
3628,6084,3,Hopper Trolley,"",0,403633,24960,
3629,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403569,23841,
3630,5936,1,To Downtown Depot,"",1,403602,21555,
3631,5914,1,Gorrell St. - Outbound to Franklin Blvd,"",0,403583,21523,
3632,5913,1,To Downtown Depot,"",1,403580,21531,
3633,5914,1,To Downtown Depot,"",1,403586,21534,
3634,5910,2,To Downtown Depot,"",1,403616,21518,
3635,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403602,21556,
3636,5910,1,To Downtown Depot,"",1,403578,21518,
3637,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403613,23842,
3638,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403596,21548,
3639,6084,3,Hopper Trolley,"",1,403632,24961,
364,5920,2,Guilford college,"",0,403622,21541,
3640,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403591,21545,
3641,5906,1,To Downtown Depot,"",1,403576,21517,
3642,5922,2,To Downtown Depot,"",1,403623,21543,
3643,5916,1,To Downtown Depot,"",1,403580,21535,
3644,5935,1,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403600,21554,
3645,5936,2,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403628,21556,
3646,5936,1,To Downtown Depot,"",1,403601,21555,
3647,5906,1,To Downtown Depot,"",1,403576,21519,
3648,6349,2,WESTBOUND TO SAPP ROAD,"",1,403613,23843,
3649,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403613,23842,
3650,5916,2,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403619,21529,
3651,5924,1,Randleman Rd. - Outbound to Elmsley Dr.,"",0,403597,21549,
3652,6084,4,Hopper Trolley,"",1,403635,24961,
3653,5910,1,To Downtown Depot,"",1,403577,21518,
3654,6349,1,WESTBOUND TO KOGER BLVD.,"",1,403574,23844,
3656,5934,2,Lawndale Dr. - Outbound to Cottage Pl,"",0,403629,21560,
3657,5914,2,To Downtown Depot,"",1,403618,21522,
3658,5934,2,To Downtown Depot,"",1,403629,21559,
3659,6084,4,Hopper Trolley,"",0,403636,24960,
3660,6084,3,Hopper Trolley,"",0,403631,24960,
3661,5910,1,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403578,21524,
3662,5914,1,To Downtown Depot,"",1,403586,21534,
3664,6084,3,Hopper Trolley,"",0,403631,24960,
3665,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403607,23842,
3666,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403579,21525,
3667,5925,2,To Downtown Depot,"",1,403625,21550,
3668,5924,2,To Downtown Depot,"",1,403626,21547,
3669,6084,3,Hopper Trolley,"",0,403631,24960,
367,5924,1,To Downtown Depot,"",1,403596,21547,
3670,6084,4,Hopper Trolley,"",1,403637,24961,
3671,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403570,23841,
3672,5935,1,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403600,21554,
3673,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403572,23841,
3674,6084,4,Hopper Trolley,"",0,403637,24960,
3675,5927,2,Route 12A,"",0,403624,22077,
3676,5910,1,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403577,21524,
3677,5922,1,To Downtown Depot,"",1,403592,21544,
3678,5936,1,To Downtown Depot,"",1,403601,21555,
3679,5920,1,Guilford college,"",0,403590,21541,
3680,5927,1,Route 12A,"",0,403594,22077,
3681,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403601,21556,
3682,5936,2,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403628,21556,
3683,5925,2,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403626,21548,
3684,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403591,21545,
3685,5934,1,Lawndale Dr. - Outbound to Cottage Pl,"",0,403603,21560,
3686,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403581,21525,
3687,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403593,21545,
3688,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403602,21556,
3689,5925,2,To Downtown Depot,"",1,403625,21550,
3690,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403592,21545,
3691,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403595,21548,
3692,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403598,21548,
3693,5906,1,Four Seasons - Outbound to Four Seasons,"",0,403575,21520,
3694,5906,1,Four Seasons - Outbound to Four Seasons,"",0,403576,21520,
3695,6084,4,Hopper Trolley,"",0,403634,24960,
3696,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403613,23841,
3697,5922,1,To Downtown Depot,"",1,403592,21544,
3698,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403611,23842,
3699,6349,1,WESTBOUND TO SAPP ROAD,"",1,403573,23843,
3700,5935,1,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403599,21554,
3701,5936,2,To Downtown Depot,"",1,403628,21555,
3702,5920,1,To Downtown Depot,"",1,403589,21539,
3703,5919,1,Battleground Ave,"",0,403585,21537,
3704,5910,1,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403578,21524,
3705,5922,1,To Downtown Depot,"",1,403593,21544,
3706,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403579,21525,
3707,5906,2,Four Seasons - Outbound to Four Seasons,"",0,403615,21520,
3708,5916,1,To Downtown Depot,"",1,403582,21535,
3709,5916,2,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403619,21529,
3710,5906,1,To Downtown Depot,"",1,403575,21519,
3711,6349,1,WESTBOUND TO SAPP ROAD,"",1,403567,23843,
3712,5922,2,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403623,21546,
383,6084,3,Hopper Trolley,"",0,403631,24960,
390,5916,1,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403582,21529,
401,5913,1,To Downtown Depot,"",1,403580,21531,
403,5910,2,To Downtown Depot,"",1,403616,21518,
406,5919,1,Battleground Ave,"",0,403586,21537,
407,5914,1,To Downtown Depot,"",1,403586,21534,
415,5924,2,To Downtown Depot,"",1,403626,21547,
416,5913,1,To Downtown Depot,"",1,403579,21531,
419,5920,1,To Downtown Depot,"",1,403590,21539,
442,5935,2,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403627,21554,
451,5924,1,To Downtown Depot,"",1,403595,21547,
453,5934,1,To Downtown Depot,"",1,403603,21559,
455,5935,2,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403627,21554,
459,5934,2,To Downtown Depot,"",1,403629,21559,
463,5918,1,Friendly Ave. - Outbound to Friends Home,"",0,403587,21527,
466,6349,2,WESTBOUND TO SAPP ROAD,"",1,403607,23843,
471,5934,2,To Downtown Depot,"",1,403629,21559,
472,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403566,23841,
473,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403572,23842,
476,5920,2,Guilford college,"",0,403622,21541,
479,5919,1,8 Inbound To Depot,"",1,403586,24464,
480,5913,1,To Downtown Depot,"",1,403582,21531,
481,5913,1,To Downtown Depot,"",1,403581,21531,
483,5918,1,Friendly Ave. - Outbound to Friends Home,"",0,403587,21527,
485,6084,4,Hopper Trolley,"",1,403634,24961,
488,6084,4,Hopper Trolley,"",1,403636,24961,
489,5918,1,Friendly Ave. - Outbound to Friends Home,"",0,403587,21527,
490,5927,1,Route 12A,"",1,403594,22076,
494,5913,1,To Downtown Depot,"",1,403582,21531,
495,5919,1,8 Inbound To Depot,"",1,403585,24464,
500,5918,1,Friendly Ave. - Outbound to Friends Home,"",0,403587,21527,
506,5919,1,Battleground Ave,"",0,403583,21537,
513,5924,2,To Downtown Depot,"",1,403626,21547,
514,5924,1,To Downtown Depot,"",1,403597,21547,
520,5916,1,To Downtown Depot,"",1,403582,21535,
521,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403597,21548,
530,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403598,21548,
533,5924,2,To Downtown Depot,"",1,403626,21547,
536,6084,4,Hopper Trolley,"",0,403635,24960,
537,6084,3,Hopper Trolley,"",0,403630,24960,
543,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403598,21548,
545,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403593,21545,
547,5936,1,To Downtown Depot,"",1,403602,21555,
551,6084,4,Hopper Trolley,"",1,403635,24961,
552,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403591,21545,
554,5925,1,To Downtown Depot,"",1,403597,21550,
555,5919,1,Battleground Ave,"",0,403584,21537,
556,5927,2,Route 12A,"",1,403624,22076,
561,5918,1,To Downtown Depot,"",1,403588,21528,
564,6084,3,Hopper Trolley,"",1,403633,24961,
565,5936,2,To Downtown Depot,"",1,403628,21555,
569,5924,1,To Downtown Depot,"",1,403596,21547,
572,6349,2,WESTBOUND TO KOGER BLVD.,"",1,403614,23844,
576,5918,2,To Downtown Depot,"",1,403620,21528,
579,5922,2,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403623,21546,
589,5924,1,To Downtown Depot,"",1,403596,21547,
598,5916,1,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403581,21529,
603,5914,1,Gorrell St. - Outbound to Franklin Blvd,"",0,403584,21523,
606,5906,1,Four Seasons - Outbound to Four Seasons,"",0,403576,21520,
608,5913,1,To Downtown Depot,"",1,403580,21531,
615,5913,1,To Downtown Depot,"",1,403580,21531,
617,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403597,21548,
622,5919,1,Battleground Ave,"",0,403585,21537,
624,5936,2,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403628,21556,
631,5916,2,To Downtown Depot,"",1,403619,21526,
638,5935,1,To Downtown Depot,"",1,403600,21553,
644,5918,1,Friendly Ave. - Outbound to Friends Home,"",0,403587,21527,
646,5916,2,To Downtown Depot,"",1,403619,21526,
647,5906,1,To Downtown Depot,"",1,403576,21517,
650,6084,3,Hopper Trolley,"",0,403630,24960,
652,5919,1,Battleground Ave,"",0,403584,21537,
655,5927,1,Route 12A,"",0,403594,22077,
662,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403593,21545,
669,5919,1,Battleground Ave,"",0,403583,21537,
670,5920,1,Guilford college,"",0,403589,21541,
