stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
20039,,9th Av NE and 8th St NE,,35.741505,-81.321805,,,,,,
20040,,8th St NE and L-R University,,35.739884,-81.323309,,,,,,
20041,,8th St NE and 7th Av NE,,35.737155,-81.32568,,,,,,
20042,,8th St NE and Lutherhaus Apts,,35.73657,-81.326224,,,,,,
20043,,Main Av NE and Fast n Fresh Store,,35.734737,-81.329005,,,,,,
20044,,3rd Ave NE and 3rd St NE,,35.735681,-81.333074,,,,,,
20045,,1st Ave SE and The Favor Center,,35.730582,-81.334814,,,,,,
20046,,1st Ave SE and Cooperative Christian Ministry,,35.730998,-81.337133,,,,,,
30001,,2nd Ave SE and 2nd St Dr SE,,35.729707,-81.334399,,,,,,
30002,,2nd Ave SE and 3rd St SE Redeemer Lutheran,,35.729509,-81.332743,,,,,,
30003,,2nd Ave SE and 4th St SE Kenworth Hall,,35.729242,-81.331164,,,,,,
30004,,"LR Bvd and 3rd Av Pl SE (Salvation Army, Outbound)",,35.727068,-81.323603,,,,,,
30005,,LR Blvd and 7th Av SE,,35.724042,-81.32093,,,,,,
30006,,Lenoir Rhyne and 9th Ave SE,,35.722708,-81.318815,,,,,,
30007,,Lenoir Rhyne and 11th Ave Ct SE,,35.716996,-81.314124,,,,,,
30008,,US 70 and 16th St SE (Old Krispy Kreme),,35.708246,-81.309608,,,,,,
30009,,17th St Dr SE and US 70 (Mattress Firm),,35.707504,-81.308725,,,,,,
30010,,17th St Dr SE and Bottom Dollar,,35.706746,-81.309613,,,,,,
30011,,Catawba Valley Blvd at Ulta,,35.702714,-81.309113,,,,,,
30012,,Belks at Valley Hills Mall,,35.702693,-81.302292,,,,,,
30013,,US 70 and PDQ Chicken (old China Buffet),,35.704861,-81.30123,,,,,,
30014,,US 70 and Hickory Furniture Mart,,35.703549,-81.297918,,,,,,
30015,,US 70 and Century 21,,35.703042,-81.296519,,,,,,
30016,,US 70 and OCharleys,,35.701709,-81.292482,,,,,,
30017,,US 70 and CVCC Main Campus,,35.700482,-81.287701,,,,,,
30018,,CVCC East Campus,,35.697146,-81.28027,,,,,,
30019,,US 70 and Aarons,,35.69983,-81.283743,,,,,,
30020,,Walmart Hickory,,35.702887,-81.288258,,,,,,
30021,,12th Ave SE and 1st Bus Stop,,35.710039,-81.277204,,,,,,
30022,,12th Ave SE and Ridgecrest Apartments,,35.709347,-81.275027,,,,,,
30023,,12th Ave SE and 11th Ave Dr SE (Outbound),,35.709254,-81.273487,,,,,,
30024,,Catawba County DSS (outbound),,35.711645,-81.272077,,,,,,
30025,,11th Ave Dr SE and Health Dept,,35.71198,-81.269576,,,,,,
30026,,11th Ave Dr SE and CVMC ER,,35.712766,-81.265661,,,,,,
30027,,CVMC Main Entrance,,35.714274,-81.266757,,,,,,
30028,,CVMC and Fairgrove Church Rd,,35.714753,-81.265241,,,,,,
30029,,McLeod Treatment Center and Fairgrove Church Rd,,35.710567,-81.264775,,,,,,
30030,,Fairgrove Ch Rd and McDonalds,,35.705132,-81.262946,,,,,,
30031,,Fairgrove Ch Rd and Christ Methodist Ch,,35.698854,-81.262,,,,,,
30032,,Boundary St- Catawba Village,,35.695052,-81.237358,,,,,,
30033,,Boundary St at Oakwood Apartments,,35.694796,-81.233859,,,,,,
30034,,Boundary St at Bradbury Apartments,,35.695036,-81.229492,,,,,,
30035,,Boundary St at Marketplace Center,,35.695072,-81.227002,,,,,,
30036,,Northwest Blvd and W 25th St,,35.686924,-81.228423,,,,,,
30037,,Northwest Blvd and Neighborhood Market,,35.681155,-81.229492,,,,,,
