trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1_WS_westbound_T20,19:03:21,19:03:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_T20,19:04:11,19:04:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_T20,19:04:46,19:04:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_T20,19:05:00,19:05:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_T20,19:07:26,19:07:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_T20,19:15:00,19:15:00,7970131,7,,,,,,29.758,1
1_WS_westbound_T21,19:15:00,19:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_T21,19:33:21,19:33:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_T21,19:34:11,19:34:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_T21,19:34:46,19:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_T21,19:35:00,19:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_T21,19:37:26,19:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_T21,19:45:00,19:45:00,7970131,7,,,,,,29.758,1
1_WS_westbound_T22,20:15:00,20:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_T22,20:33:21,20:33:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_T22,20:34:11,20:34:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_T22,20:34:46,20:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_T22,20:35:00,20:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_T22,20:37:26,20:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_T22,20:45:00,20:45:00,7970131,7,,,,,,29.758,1
1_Last_WS_westbound_T01,21:15:00,21:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_Last_WS_westbound_T01,21:33:21,21:33:21,7974462,2,5th & MLK Jr Dr.,1,,,,26.888,0
1_Last_WS_westbound_T01,21:34:11,21:34:11,7974463,3,5th & Research,1,,,,28.122,0
1_Last_WS_westbound_T01,21:34:46,21:34:46,7974464,4,Innovation Quarter (5th & Patterson),1,,,,28.981,0
1_Last_WS_westbound_T01,21:35:00,21:35:00,7974465,5,5th & Chestnut (Drop-Off Only),1,,,,29.318,1
1_Last_WS_westbound_T01,21:37:26,21:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_Last_WS_westbound_T01,21:45:00,21:45:00,7970131,7,,1,,,,29.758,1
1_WS_eastbound_Sat_T01,06:45:00,06:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
