route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3,Sa,3_HP_southbound_Sat_T07,High Point Broad Ave Terminal,1,307,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T08,High Point Broad Ave Terminal,1,307,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T09,High Point Broad Ave Terminal,1,307,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T10,High Point Broad Ave Terminal,1,307,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T11,High Point Broad Ave Terminal,1,307,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T12,High Point Broad Ave Terminal,1,307,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T13,High Point Broad Ave Terminal,1,307,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T14,High Point Broad Ave Terminal,1,307,3CTCtoHP,1,1
3,Sa,3_Last_HP_southbound_Sat_T01,High Point Broad Ave Terminal,1,307,3CTCtoHP,1,1
4,MF,4_AB_eastbound_1_T01,UNC Hospitals,1,401,B4GBtoCH,1,1
4,MF,4_AB_eastbound_1_T02,UNC Hospitals,1,402,B4GBtoCH,1,1
4,MF,4_AB_eastbound_2_T01,UNC Hospitals,1,403,A4CTCtoCH,1,1
4,MF,4_AB_eastbound_2_T02,UNC Hospitals,1,404,A4CTCtoCH,1,1
4,MF,4_AB_eastbound_2_T03,UNC Hospitals,1,405,A4CTCtoCH,1,1
4,MF,4_AB_eastbound_3_T01,UNC Hospitals,1,401,D4MBtoCH,1,1
4,MF,4_AB_eastbound_3_T02,UNC Hospitals,1,406,D4MBtoCH,1,1
4,MF,4_AB_eastbound_4_T01,UNC Hospitals,1,402,C4ACCtoCH,1,1
4,MF,4_AB_westbound_1_T01,Mebane Cone Health,0,401,B4CHtoMB,1,1
4,MF,4_AB_westbound_1_T02,Mebane Cone Health,0,406,B4CHtoMB,1,1
4,MF,4_AB_westbound_2_T01,Alamance Community College,0,402,C4CHtoACC,1,1
4,MF,4_AB_westbound_3_T01,Coble Transportation Center,0,401,A4CHtoCTC,1,1
4,MF,4_AB_westbound_3_T02,Coble Transportation Center,0,402,A4CHtoCTC,1,1
4,MF,4_AB_westbound_3_T03,Coble Transportation Center,0,403,A4CHtoCTC,1,1
4,MF,4_AB_westbound_3_T04,Coble Transportation Center,0,404,A4CHtoCTC,1,1
4,MF,4_AB_westbound_3_T05,Coble Transportation Center,0,405,A4CHtoCTC,1,1
4,MF,4_AB_westbound_3_T06,Coble Transportation Center,0,406,A4CHtoCTC,1,1
9,MF,9_DA_northbound_T01,Greensboro Depot,0,901,9THtoGB,1,1
9,MF,9_DA_northbound_T02,Greensboro Depot,0,902,9THtoGB,1,1
9,MF,9_DA_northbound_T03,Greensboro Depot,0,901,9THtoGB,1,1
9,MF,9_DA_northbound_T04,Greensboro Depot,0,902,9THtoGB,1,1
9,MF,9_DA_northbound_T05,Greensboro Depot,0,902,9THtoGB,1,1
9,MF,9_DA_northbound_T06,Greensboro Depot,0,903,9THtoGB,1,1
9,MF,9_DA_northbound_T07,Greensboro Depot,0,903,9THtoGB,1,1
9,MF,9_DA_northbound_T08,Greensboro Depot,0,903,9THtoGB,1,1
9,MF,9_DA_northbound_T09,Greensboro Depot,0,904,9THtoGB,1,1
9,MF,9_DA_northbound_T10,Greensboro Depot,0,903,9THtoGB,1,1
9,MF,9_DA_southbound_T01,Thomasville Park & Ride,1,902,9GBtoTH,1,1
9,MF,9_DA_southbound_T02,Thomasville Park & Ride,1,901,9GBtoTH,1,1
9,MF,9_DA_southbound_T03,Thomasville Park & Ride,1,902,9GBtoTH,1,1
9,MF,9_DA_southbound_T04,Thomasville Park & Ride,1,902,9GBtoTH,1,1
9,MF,9_DA_southbound_T05,Thomasville Park & Ride,1,902,9GBtoTH,1,1
9,MF,9_DA_southbound_T06,Thomasville Park & Ride,1,903,9GBtoTH,1,1
9,MF,9_DA_southbound_T07,Thomasville Park & Ride,1,903,9GBtoTH,1,1
9,MF,9_DA_southbound_T08,Thomasville Park & Ride,1,904,9GBtoTH,1,1
9,MF,9_DA_southbound_T09,Thomasville Park & Ride,1,903,9GBtoTH,1,1
9,MF,9_Last_DA_southbound_T01,Thomasville Park & Ride,1,904,9GBtoTH,1,1
10,MF,10_RA_northbound_1_T01,Greensboro Depot,0,1001,A10ABtoGB,1,1
10,MF,10_RA_northbound_1_T02,Greensboro Depot,0,1003,A10ABtoGB,1,1
10,MF,10_RA_northbound_1_T03,Greensboro Depot,0,1002,A10ABtoGB,1,1
10,MF,10_RA_northbound_2_T01,Greensboro Depot,0,1001,C10ABtoGB,1,1
10,MF,10_RA_northbound_2_T02,Greensboro Depot,0,1001,C10ABtoGB,1,1
10,MF,10_RA_northbound_2_T03,Greensboro Depot,0,1004,C10ABtoGB,1,1
10,MF,10_RA_northbound_2_T04,Greensboro Depot,0,1005,C10ABtoGB,1,1
10,MF,10_RA_northbound_2_T05,Greensboro Depot,0,1006,C10ABtoGB,1,1
10,MFPS2,10_Last_RA_northbound_PeakSeason2_T01,Greensboro Depot,0,1004,C10ABtoGB,1,1
10,MFW,10_Last_RA_northbound_Winter_T01,Greensboro Depot,0,1004,A10ABtoGB,1,1
10,MFW1,10_Last_RA_northbound_Winter_1_T01,Greensboro Depot,0,1004,A10ABtoGB,1,1
10,MF,10_RA_southbound_1_T01,S Asheboro Park & Ride,1,1002,A10GBtoAB,1,1
10,MF,10_RA_southbound_1_T02,S Asheboro Park & Ride,1,1005,A10GBtoAB,1,1
10,MF,10_RA_southbound_2_T01,NC Zoo,1,1001,C10GBtoAB,1,1
10,MF,10_RA_southbound_2_T02,NC Zoo,1,1002,C10GBtoAB,1,1
10,MF,10_RA_southbound_2_T03,NC Zoo,1,1001,C10GBtoAB,1,1
10,MF,10_RA_southbound_2_T04,NC Zoo,1,1004,C10GBtoAB,1,1
10,MF,10_RA_southbound_2_T05,NC Zoo,1,1005,C10GBtoAB,1,1
