trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2912010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
5863050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
3968010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
2760050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
1819020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
7126070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
8568070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
498050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
4823050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
4075050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
5168050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
2223050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
6651070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
6913020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
288020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
2258050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
951050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
6842020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
3140020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
3301010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
7039070,1,2,"DOWNTOWN",,1,0036,shp-1-01,0,0
966050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
4184020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
3063020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
339070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
1782020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
4534070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
5702020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
6781050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
2397050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
9048020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
1488050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
7516020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
7846070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
1854010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
8993010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
7861010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
5772010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
4916020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
6760050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
7188050,1,1,"DOWNTOWN",,1,0083,shp-1-01,0,0
1322070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
4880050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
9099010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
5492050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
2461020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
7195070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
8450050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
3339010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
7016020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
1793050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
81010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
5521010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
5138020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
3401050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
9426070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
4615050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
4902050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
6495010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
6403020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
9179050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
5925010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
2685050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
3409070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
9155050,1,1,"DOWNTOWN",,1,0083,shp-1-01,0,0
7821010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
197010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
8881020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
9343070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
2873010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
3977050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
5760050,1,1,"DOWNTOWN",,1,0083,shp-1-01,0,0
8099070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
7151050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
2870010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
9400070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
948070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
4923020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
6985070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
3823050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
505010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
332010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
9410010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
6923050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
