stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
409,8292,"Rock Quarry Rd at Raleigh Blvd (SB)",,35.766110,-78.615870,,,,,,0
410,8293,"Rock Quarry Rd at Southeast Raleigh YMCA",,35.761050,-78.613940,,,,,,0
411,8294,"Proctor St at Rock Quarry Rd",,35.754310,-78.611770,,,,,,0
412,8295,"Proctor St at Fountain Dr",,35.753330,-78.609470,,,,,,0
413,8296,"Atkins Dr at Southgate Dr",,35.754119,-78.606705,,,,,,0
414,8297,"2008 Atkins Dr",,35.752456,-78.606112,,,,,,0
415,8298,"Atkins Dr at Tee Dee St",,35.749844,-78.606575,,,,,,0
416,8299,"Atkins Dr at Rock Quarry Rd",,35.748982,-78.607392,,,,,,0
417,8300,"Sanderford Rd at Rock Quarry Rd",,35.750500,-78.611960,,,,,,0
418,8301,"Sanderford Rd at Altama Cir",,35.745340,-78.613990,,,,,,0
419,8302,"Rock Quarry Rd at Raleigh Blvd (NB)",,35.766165,-78.615629,,,,,,0
420,8303,"Peyton St at Martin Luther King Jr Blvd (SB)",,35.771442,-78.607150,,,,,,0
421,8304,"Idlewood Village Dr at Sanderford Rd",,35.738990,-78.612513,,,,,,0
423,8306,"Snowberry Dr at Oak Hill Ct",,35.738671,-78.614349,,,,,,0
424,8307,"Savannah Dr at Quince Dr",,35.740230,-78.615521,,,,,,0
425,8308,"Savannah Dr at Daytona Dr",,35.740259,-78.617627,,,,,,0
426,8309,"Sylvester St at Seabrook Rd",,35.741650,-78.619470,,,,,,0
427,8310,"Cross Link Rd at Crown Crossing Ln",,35.744720,-78.623420,,,,,,0
428,8311,"Dandridge Dr at Elkhart Dr",,35.747620,-78.623450,,,,,,0
429,8312,"Dandridge Dr at Newcombe Rd",,35.749470,-78.622646,,,,,,0
430,8314,"Cross Link Rd at Merrik St",,35.754035,-78.614215,,,,,,0
431,8315,"Rock Quarry Rd at Proctor St",,35.755140,-78.612302,,,,,,0
432,8316,"Rock Quarry Rd at Central Wake High School",,35.761050,-78.613640,,,,,,0
433,8318,"Rock Quarry Rd at Merrywood Dr",,35.769337,-78.617959,,,,,,0
434,8319,"Rock Quarry Rd at Bart St (Helping Hand Mission)",,35.771254,-78.620904,,,,,,0
435,8320,"E Lenoir St at Rock Quarry Rd",,35.772464,-78.621763,,,,,,0
436,8323,"E Lenoir St at Chavis Way IB",,35.772770,-78.631550,,,,,,0
437,8324,"Crabtree Valley Ave at Edwards Mill Rd",,35.838693,-78.681022,,,,,,0
438,8325,"Glenwood Ave at Creedmoor Rd",,35.843582,-78.681668,,,,,,0
439,8328,"Deep Hollow Dr at Duraleigh Rd",,35.853000,-78.710470,,,,,,0
440,8330,"New Bern Ave at West Campus Dr (EB)",,35.784464,-78.590762,,,,,,0
441,8331,"Grove Barton Rd at Lynn Rd",,35.871144,-78.717135,,,,,,0
442,8332,"Avent Ferry Rd at Centennial Pkwy (SB)",,35.776990,-78.678749,,,,,,0
443,8333,"Grove Barton Rd at Lynn Rd",,35.871264,-78.717713,,,,,,0
444,8335,"Sunnybrook Rd at Kidd Rd",,35.778373,-78.583459,,,,,,0
445,8337,"N Tarboro Rd at E Edenton St",,35.780230,-78.622303,,,,,,0
446,8338,"Poole Rd at S Fisher St",,35.778310,-78.615745,,,,,,0
447,8340,"Glenwood Ave at Munford Rd (SB)",,35.855558,-78.702002,,,,,,0
448,8341,"Sanderford Rd at Evers Rd",,35.808938,-78.602735,,,,,,0
449,8343,"McDowell St at Martin St",,35.776839,-78.641813,,,,,,0
450,8344,"Lenoir St at Fayetteville St",,35.772900,-78.640240,,,,,,0
451,8348,"Glenwood Ave at Alexander Rd",,35.806544,-78.647165,,,,,,0
452,8349,"Glenwood Ave at St Marys St (NB)",,35.813498,-78.651411,,,,,,0
453,8350,"Glenwood Ave at Argyle Dr",,35.815465,-78.653088,,,,,,0
454,8351,"Glenwood Ave at Oberlin Rd (The Carolinian)",,35.811232,-78.599207,,,,,,0
455,8352,"Glenwood Ave at Oberlin Rd (NB)",,35.816624,-78.660183,,,,,,0
456,8353,"Glenwood Ave at Pasquatank Dr (NB)",,35.825419,-78.665597,,,,,,0
457,8354,"Glenwood at Women's Club Dr",,35.830543,-78.666709,,,,,,0
458,8355,"Crabtree Valley Mall",,35.838068,-78.678078,,,,,,0
459,8356,"Crabtree Valley Ave at Creedmoor Rd (NB)",,35.841040,-78.684081,,,,,,0
460,8358,"Glenwood Ave at Moorehead Dr",,35.845615,-78.687780,,,,,,0
461,8359,"Glenwood Ave at Carolina Corporate",,35.849255,-78.692303,,,,,,0
462,8360,"Glenwood Ave at Rembert Dr",,35.852054,-78.696310,,,,,,0
463,8362,"Glenwood Ave at Deblyn Ave",,35.853405,-78.698237,,,,,,0
464,8363,"Glenwood Ave at Holly Ridge Dr",,35.854909,-78.700398,,,,,,0
