stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
5400,5400,"Roxboro Rd at Channing Ave (NB)",,36.031871,-78.890738,,,0,,0
5401,5401,"Sima Ave at Lawson St",,35.9748,-78.891088,,,0,,0
5403,5403,"Carver St at Patrick Henry Dr (WB)",,36.040706,-78.897767,,,0,,0
5404,5404,"E Main St at Hyde Park Ave (WB)",,35.9854,-78.88207,,,0,,0
5407,5407,"Tom Wilkinson Rd at Roxboro Rd",,36.0950678,-78.9116757,,,0,,0
5409,5409,"Clayton Rd at Chandler Rd",,35.995997,-78.830995,,,0,,0
5412,5412,"Hinson Dr at Waring St",,36.030322,-78.87764,,,0,,0
5415,5415,"Duke St at North Duke Crossing",,36.049902,-78.905608,,,0,,0
5416,5416,"Glenbrook Dr at Dubonnet Pl (NB)",,36.02645,-78.87767,,,0,,0
5419,5419,"Holloway St at Chandler Rd",,35.985884,-78.840216,,,0,,0
5423,5423,"Enterprise St at Roxboro St (EB)",,35.9835527,-78.9031408,,,0,,0
5424,5424,"S Roxboro St at Bond St",,35.980161,-78.905344,,,0,,0
5429,5429,"Hillsborough Rd at US 15-501 SB (Wendy's",,36.021548,-78.951737,,,0,,0
5430,5430,"Riddle Rd at Kirby St (SB)",,35.955723,-78.893212,,,0,,0
5431,5431,"Riddle Rd at Alston Ave (WB)",,35.9561702,-78.8898354,,,0,,0
5432,5432,"Riddle Rd at Alston Ave (EB)",,35.9560965,-78.8893901,,,0,,0
5433,5433,"Main St at Morgan St (WB)",,36.0016282,-78.9116598,,,0,,0
5434,5434,"Milton Rd at Long Cresent Dr",,36.091973,-78.91416,,,0,,0
5435,5435,"NC 55 at Alston Ave (NCCU)",,35.9706648,-78.8947985,,,0,,0
5436,5436,"Meriwether Dr at Pickwick Trail (SB)",,36.041878,-78.889984,,,0,,0
5438,5438,"Duke St at Corporation St",,36.002322,-78.90632,,,0,,0
5439,5439,"Gregson St at Lamond Ave",,36.00233,-78.90835,,,0,,0
5444,5444,"Dowd St at Roxboro Rd (EB)",,36.000292,-78.893429,,,0,,0
5445,5445,"Raynor St at The Village (WB)",,35.994284,-78.869756,,,0,,0
5446,5446,"Guess Rd at Ellen St",,36.03985,-78.92963,,,0,,0
5447,5447,"Chapel Hill Rd at Palmer St (WB)",,35.988573,-78.925313,,,0,,0
5450,5450,"Meriwether Dr at Oxford Ct",,36.038614,-78.890029,,,0,,0
5451,5451,"Olympic Ave at Roxboro Rd",,36.036787,-78.896935,,,0,,0
5453,5453,"Cornwallis Rd at Fayetteville Rd",,35.9602773,-78.9114336,,,0,,0
5456,5456,"Shannon Rd at Martin Luther King Jr Pkwy",,35.962639,-78.956324,,,0,,0
5460,5460,"Erwin Rd at LaSalle St (EB)",,36.007986,-78.945586,,,0,,0
5463,5463,"Fayetteville Rd at Obie Dr (SB)",,35.926656,-78.92316,,,0,,0
5464,5464,"Morehead Ave at Vickers Ave (EB)",,35.991578,-78.912047,,,0,,0
5465,5465,"Broad St at Markham Ave (NB)",,36.01058,-78.91947,,,0,,0
5466,5466,"Roxboro Rd at Argonne Dr (Northern High",,36.063434,-78.9041156,,,0,,0
5468,5468,"Hillsborough Rd at LaSalle St (Auto Zone",,36.0197,-78.94693,,,0,,0
5472,5472,"Old Oxford Rd at Dearborn Dr (EB)",,36.037234,-78.886362,,,0,,0
5473,5473,"Old Oxford Rd at Dearborn Dr (WB)",,36.038273,-78.885425,,,0,,0
5475,5475,"Club Blvd at Stephenson St",,36.021567,-78.88255,,,0,,0
5477,5477,"Ross Rd at Charlestowne Apts",,35.99243,-78.84488,,,0,,0
5478,5478,"Club Blvd at Dearborn Dr",,36.027159,-78.870647,,,0,,0
5479,5479,"Cornwallis Rd at Weaver St",,35.9626,-78.916008,,,0,,0
5480,5480,"Flowers Dr at Duke Gardens (NB)",,36.001234,-78.936286,,,0,,0
5481,5481,"Roxboro Rd at Davidson Ave (NB)",,36.01932,-78.88985,,,0,,0
5482,5482,"Roxboro Rd at Lynch St",,36.00713,-78.89235,,,0,,0
5484,5484,"Duke University Rd at Underwood Ave (WB)",,35.996844,-78.922128,,,0,,0
5489,5489,"Dearborn Dr at Wiley Ave",,36.029217,-78.870369,,,0,,0
5490,5490,"Chapel Hill Rd at Ward St",,35.983177,-78.930668,,,0,,0
5492,5492,"Dearborn Dr at Cannada Ave (NB)",,36.038636,-78.882398,,,0,,0
5495,5495,"W Club Blvd at Clarendon St",,36.017198,-78.918167,,,0,,0
5496,5496,"Dearborn Dr at Maplewood Dr (north)",,36.034678,-78.86792,,,0,,0
5497,5497,"Roxboro St at Erie St (CC Spaulding Elem",,35.9786517,-78.906386,,,0,,0
5498,5498,"Holloway St at Guthrie Ave (EB)",,35.99414,-78.87553,,,0,,0
5499,5499,"Meriwether Dr at Pickwick Trail (NB)",,36.041873,-78.889813,,,0,,0
5501,5501,"Chapel Hill Rd at Chapel Ridge Apts",,35.984739,-78.929553,,,0,,0
5503,5503,"North Pointe Dr at Red Roof Inn (EB)",,36.03029,-78.923029,,,0,,0
5505,5505,"Holloway St at Alston Ave (WB)",,35.994552,-78.884742,,,0,,0
5506,5506,"Lawson St at DTCC Library (WB)",,35.974428,-78.882757,,,0,,0
5507,5507,"Chapel Hill St at Gregson St (WB)",,35.997049,-78.909564,,,0,,0
5508,5508,"Chapel Hill Rd at Morehead Ave (SB)",,35.991518,-78.922917,,,0,,0
5509,5509,"Old Farm Rd at Seven Oaks Rd",,36.067087,-78.904996,,,0,,0
5511,5511,"Hillsborough Rd at US 15-501 SB (Krispy",,36.021637,-78.951409,,,0,,0
5512,5512,"Alston Ave at Cecil St (NCCU)",,35.9715036094,-78.8948594112,,,0,,0
5513,5513,"Roxboro Rd at Horton Rd",,36.050261,-78.903612,,,0,,0
5516,5516,"Duke St at Carver St",,36.04005,-78.90587,,,0,,0
5517,5517,"Fayetteville Rd at Southpoint Crossing D",,35.913491,-78.933378,,,0,,0
5518,5518,"Fayetteville St at Pekoe St",,35.9733322,-78.9011141,,,0,,0
5519,5519,"University Dr at Hill St (Forest Hills S",,35.985437,-78.910176,,,0,,0
5522,5522,"Dearborn Dr at Cannada Ave (Disciples Ch",,36.038529,-78.880921,,,0,,0
5524,5524,"Mangum St at Trinity Ave",,36.005518,-78.8942,,,0,,0
5525,5525,"Hinson Dr at Davinci St",,36.03179,-78.878167,,,0,,0
5526,5526,"Hillsborough Rd at Erwin Square",,36.01038,-78.92509,,,0,,0
5530,5530,"Cornwallis Rd at Century Oaks Dr (NB)",,35.94103,-78.89807,,,0,,0
5532,5532,"S Alston Ave at Dupree St (NB)",,35.976341,-78.892879,,,0,,0
5533,5533,"University Dr at Old Chapel Hill Rd (EB)",,35.96717,-78.94603,,,0,,0
