route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5643,59215.162571,1052569,Route 41,,,48462,70572,0,0
5643,59215.162571,1052570,Route 41,,,48462,70572,0,0
5643,59215.162571,1052571,Route 41,,,48462,70572,0,0
5643,59215.162571,1052572,Route 41,,,48462,70572,0,0
5643,59215.162571,1052573,Route 41,,,48462,70572,0,0
5643,59215.162571,1052574,Route 41,,,48462,70572,0,0
5643,59215.162571,1052575,Route 41,,,48462,70572,0,0
5643,59215.162571,1052576,Route 41,,,48462,70572,0,0
5643,59215.162571,1052577,Route 41,,,48462,70572,0,0
5643,59215.162571,1052578,Route 41,,,48462,70572,0,0
5643,59215.162571,1052579,Route 41,,,48462,70572,0,0
5643,59215.162571,1052580,Route 41,,,48462,70572,0,0
5643,59215.162571,1052558,Route 41,,,48465,70572,0,0
5643,59215.162571,1052581,Route 41,,,48465,70572,0,0
5643,59215.162571,1052582,Route 41,,,48465,70572,0,0
5643,59215.162571,1052583,Route 41,,,48465,70572,0,0
5643,59215.162571,1052584,Route 41,,,48465,70572,0,0
5643,59215.162571,1052585,Route 41,,,48465,70572,0,0
5643,59215.162571,1052586,Route 41,,,48465,70572,0,0
5643,59215.162571,1052587,Route 41,,,48465,70572,0,0
5643,59215.162571,1052588,Route 41,,,48465,70572,0,0
5643,59215.162571,1052589,Route 41,,,48465,70572,0,0
5643,59215.162571,1052590,Route 41,,,48465,70572,0,0
5643,59215.162571,1052591,Route 41,,,48465,70572,0,0
5643,59215.162571,1052592,Route 41,,,48465,70572,0,0
5643,59215.162571,1052593,Route 41,,,48465,70572,0,0
5643,59215.162571,1052594,Route 41,,,48465,70572,0,0
5643,59215.162571,1052595,Route 41,,,48465,70572,0,0
5643,72451.213256,1052559,Route 41,,,45592,70572,0,0
5643,72451.213256,1052596,Route 41,,,45592,70572,0,0
5643,72451.213256,1052597,Route 41,,,45592,70572,0,0
5643,72451.213256,1052598,Route 41,,,45592,70572,0,0
5643,72451.213256,1052599,Route 41,,,45592,70572,0,0
5643,72451.213256,1052600,Route 41,,,45592,70572,0,0
5643,72451.213256,1052601,Route 41,,,45592,70572,0,0
5643,72451.213256,1052602,Route 41,,,45592,70572,0,0
5643,72451.213256,1052603,Route 41,,,45592,70572,0,0
5643,72451.213256,1052604,Route 41,,,45592,70572,0,0
5643,72451.213256,1052605,Route 41,,,45592,70572,0,0
5643,72451.213256,1052606,Route 41,,,45592,70572,0,0
5643,72451.213256,1052607,Route 41,,,45592,70572,0,0
5643,72451.213256,1052608,Route 41,,,45592,70572,0,0
5643,72451.213256,1052609,Route 41,,,45592,70572,0,0
5643,72451.213256,1052610,Route 41,,,45592,70572,0,0
5643,72451.213256,1052611,Route 41,,,45592,70572,0,0
5643,72451.213256,1052612,Route 41,,,45592,70572,0,0
5643,72451.213256,1052613,Route 41,,,45592,70572,0,0
5643,72451.213256,1052614,Route 41,,,45592,70572,0,0
5643,59215.162571,1109444,Route 41,,,48456,70572,0,0
5643,59215.162571,1109445,Route 41,,,48456,70572,0,0
5643,59215.162571,1109446,Route 41,,,48456,70572,0,0
5643,59215.162571,1109447,Route 41,,,48456,70572,0,0
5643,59215.162571,1109448,Route 41,,,48456,70572,0,0
5643,59215.162571,1109449,Route 41,,,48456,70572,0,0
5643,59215.162571,1109450,Route 41,,,48456,70572,0,0
5643,59215.162571,1109451,Route 41,,,48456,70572,0,0
5643,59215.162571,1109452,Route 41,,,48456,70572,0,0
5643,59215.162571,1109453,Route 41,,,48456,70572,0,0
5643,59215.162571,1109454,Route 41,,,48456,70572,0,0
5643,59215.162571,1109455,Route 41,,,48456,70572,0,0
5643,59215.162571,1109456,Route 41,,,48456,70572,0,0
5643,59215.162571,1109457,Route 41,,,48456,70572,0,0
5643,59215.162571,1109458,Route 41,,,48456,70572,0,0
5643,59215.162571,1109459,Route 41,,,48456,70572,0,0
5643,59215.162571,1109460,Route 41,,,48456,70572,0,0
5643,59215.162571,1109461,Route 41,,,48456,70572,0,0
5643,59215.162571,1109462,Route 41,,,48456,70572,0,0
5643,59215.162571,1109463,Route 41,,,48456,70572,0,0
5643,59215.162571,1109464,Route 41,,,48456,70572,0,0
5643,59215.162571,1109465,Route 41,,,48456,70572,0,0
5639,59215.162571,872695,Route 42,,,34529,47773,0,0
5639,59215.162571,872696,Route 42,,,34529,47773,0,0
5639,59215.162571,872697,Route 42,,,34529,47773,0,0
5639,59215.162571,872698,Route 42,,,34529,47773,0,0
5639,59215.162571,872699,Route 42,,,34529,47773,0,0
5639,59215.162571,872700,Route 42,,,34529,47773,0,0
5639,59215.162571,872701,Route 42,,,34529,47773,0,0
5639,59215.162571,872702,Route 42,,,34529,47773,0,0
5639,59215.162571,872703,Route 42,,,34529,47773,0,0
5639,59215.162571,872704,Route 42,,,34529,47773,0,0
5639,59215.162571,872705,Route 42,,,34529,47773,0,0
5639,59215.162571,872706,Route 42,,,34529,47773,0,0
5639,59215.162571,872707,Route 42,,,34529,47773,0,0
5639,59215.162571,872708,Route 42,,,34529,47773,0,0
5639,59215.162571,872709,Route 42,,,34529,47773,0,0
5639,59215.162571,872710,Route 42,,,34529,47773,0,0
5639,59215.162571,872711,Route 42,,,34529,47773,0,0
5639,59215.162571,872712,Route 42,,,34529,47773,0,0
5639,59215.162571,872713,Route 42,,,34529,47773,0,0
5639,59215.162571,872714,Route 42,,,34529,47773,0,0
5639,59215.162571,872715,Route 42,,,34529,47773,0,0
5639,59215.162571,872716,Route 42,,,34529,47773,0,0
5639,59215.162571,872717,Route 42,,,34529,47773,0,0
5639,59215.162571,872718,Route 42,,,34529,47773,0,0
5639,59215.162571,872719,Route 42,,,34529,47773,0,0
5639,59215.162571,872720,Route 42,,,34529,47773,0,0
5639,59215.162571,872721,Route 42,,,34529,47773,0,0
5639,59215.162571,872722,Route 42,,,34529,47773,0,0
5639,59215.162571,872723,Route 42,,,34529,47773,0,0
5639,59215.162571,872724,Route 42,,,34529,47773,0,0
5639,59215.162571,872725,Route 42,,,34529,47773,0,0
5639,59215.162571,872726,Route 42,,,34529,47773,0,0
5639,59215.162571,872727,Route 42,,,34529,47773,0,0
5639,59215.162571,872728,Route 42,,,34529,47773,0,0
5639,59215.162571,872729,Route 42,,,34529,47773,0,0
5639,59215.162571,872730,Route 42,,,34529,47773,0,0
5639,59215.162571,872731,Route 42,,,34529,47773,0,0
5639,59215.162571,872732,Route 42,,,34529,47773,0,0
5645,59215.162571,1109618,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109619,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109620,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109621,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109622,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109623,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109624,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109625,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109626,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109627,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109628,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109629,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109630,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109631,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109632,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109633,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109634,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109635,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109636,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109637,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109638,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109639,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109640,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109641,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109642,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109643,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109644,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109645,Route 43,43101,,48466,59220,1,1
5645,59215.162571,1109653,Route 43,,,48466,59220,0,0
5645,59215.162571,1109654,Route 43,,,48466,59220,0,0
5645,59215.162571,1109655,Route 43,,,48466,59220,0,0
5645,59215.162571,1109656,Route 43,,,48466,59220,0,0
5645,59215.162571,1109657,Route 43,,,48466,59220,0,0
5646,59215.162571,873058,Route 52,,,45474,59224,0,0
5646,59215.162571,873059,Route 52,,,45474,59224,0,0
5646,59215.162571,873060,Route 52,,,45474,59224,0,0
5646,59215.162571,873061,Route 52,,,45474,59224,0,0
5646,59215.162571,873062,Route 52,,,45474,59224,0,0
5646,59215.162571,873063,Route 52,,,45474,59224,0,0
5646,59215.162571,873064,Route 52,,,45474,59224,0,0
5646,59215.162571,873065,Route 52,,,45474,59224,0,0
5646,59215.162571,873066,Route 52,,,45474,59224,0,0
5646,59215.162571,873067,Route 52,,,45474,59224,0,0
5646,59215.162571,873068,Route 52,,,45474,59224,0,0
5646,59215.162571,873069,Route 52,,,45474,59224,0,0
5646,59215.162571,873070,Route 52,,,45474,59224,0,0
5646,59215.162571,873071,Route 52,,,45474,59224,0,0
5646,59215.162571,873072,Route 52,,,45474,59224,0,0
5646,59215.162571,873073,Route 52,,,45474,59224,0,0
5646,59215.162571,873074,Route 52,,,45474,59224,0,0
5646,59215.162571,873075,Route 52,,,45474,59224,0,0
5646,59215.162571,873076,Route 52,,,45474,59224,0,0
5646,59215.162571,873077,Route 52,,,45474,59224,0,0
5646,59215.162571,873078,Route 52,,,45474,59224,0,0
5646,59215.162571,873079,Route 52,,,45474,59224,0,0
5646,59215.162571,873080,Route 52,,,45474,59224,0,0
5646,72451.213256,873101,Route 52,,,45476,59224,0,0
5646,72451.213256,873102,Route 52,,,45476,59224,0,0
5646,72451.213256,873103,Route 52,,,45476,59224,0,0
5646,72451.213256,873104,Route 52,,,45476,59224,0,0
5646,72451.213256,873105,Route 52,,,45476,59224,0,0
5646,72451.213256,873106,Route 52,,,45476,59224,0,0
5646,72451.213256,873107,Route 52,,,45476,59224,0,0
5646,72451.213256,873108,Route 52,,,45476,59224,0,0
5646,72451.213256,873109,Route 52,,,45476,59224,0,0
5646,72451.213256,873110,Route 52,,,45476,59224,0,0
5646,72451.213256,873111,Route 52,,,45476,59224,0,0
5646,72451.213256,873112,Route 52,,,45476,59224,0,0
5646,72451.213256,873113,Route 52,,,45476,59224,0,0
5646,72451.213256,873114,Route 52,,,45476,59224,0,0
5646,72451.213256,873115,Route 52,,,45476,59224,0,0
5646,72451.213256,873116,Route 52,,,45476,59224,0,0
