school_name,geocode_flag,county,sch_type,sch_ptype,sch_ctype,lat,lon,nearest_stop_distance_m,stops_within_radius,avg_daily_trips_nearby,in_service_area,n_agencies_loaded
Granite Falls Elementary,review_recommended,Caldwell,Regular School,None,Traditional,35.8076193017219,-81.43537151786539,9952.0,0,0.0,False,21
Hudson Elementary,review_recommended,Caldwell,Regular School,None,Traditional,35.849150064764565,-81.48248660392967,16195.4,0,0.0,False,21
Hudson Middle,review_recommended,Caldwell,Regular School,None,Traditional,35.84755306658027,-81.47841449198924,15828.8,0,0.0,False,21
William Lenoir Middle,review_recommended,Caldwell,Regular School,None,Traditional,35.92669380668969,-81.53552596734613,21973.5,0,0.0,False,21
Lower Creek Elementary,ok,Caldwell,Regular School,None,Traditional,35.92282848963446,-81.51271168734635,19960.6,0,0.0,False,21
South Caldwell High,review_recommended,Caldwell,Regular School,None,Traditional,35.820735166751255,-81.45063208493787,11941.4,0,0.0,False,21
Valmead Elementary,ok,Caldwell,Regular School,None,Traditional,35.937659123932484,-81.5404480974576,22701.4,0,0.0,False,21
West Lenoir Elementary,ok,Caldwell,Regular School,None,Traditional,35.90946435810902,-81.55304991020235,19536.5,0,0.0,False,21
Whitnel Elementary,ok,Caldwell,Regular School,None,Traditional,35.88999485596602,-81.52132038598147,19316.2,0,0.0,False,21
Camden Middle,ok,Camden,Regular School,None,Traditional,36.36117486653725,-76.1747319252753,145597.7,0,0.0,False,21
Beaufort Elementary,ok,Carteret,Regular School,None,Traditional,34.72033951705708,-76.65543529501588,55153.6,0,0.0,False,21
Beaufort Middle,review_recommended,Carteret,Regular School,None,Traditional,34.728028512954694,-76.64808160100688,54928.4,0,0.0,False,21
Morehead Elem at Camp Glenn,review_recommended,Carteret,Regular School,None,Traditional,34.72598416935213,-76.74997907591812,49586.6,0,0.0,False,21
Morehead City Middle,review_recommended,Carteret,Regular School,None,Traditional,34.73185271605405,-76.74141313369879,49459.3,0,0.0,False,21
