county,year,internet_type,pct_households,lat,lon,internet_category
Pender County,2021,with an internet subscription,1.0,34.52487363212925,-77.90517580706157,with an internet subscription
Perquimans County,2021,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,36.177231517796926,-76.40763686851571,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Richmond County,2021,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,0.77,35.00605304510937,-79.74778109248616,satellite
Union County,2021,total households,1.0,34.98836470959961,-80.53074195083994,total households
Wake County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,35.79031905938475,-78.65028589163481,fiber
Wilkes County,2021,with an internet subscription - satellite internet service,1.0,36.20629529914747,-81.16336399921859,satellite
Craven County,2019,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.117737469020454,-77.08207331956487,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Granville County,2019,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,36.30407790862547,-78.65272169631768,satellite
Mecklenburg County,2019,with an internet subscription - other service with no other type of internet subscription,1.0,35.24647326538168,-80.8326243427789,with an internet subscription - other service with no other type of internet subscription
Warren County,2019,with an internet subscription - satellite internet service,1.0,36.396516724483234,-78.1067192799684,satellite
Madison County,2019,with an internet subscription - dial-up with no other type of internet subscription,0.56,35.85804254698728,-82.70576208808994,dialup
Polk County,2019,no internet access,1.0,35.27928721249203,-82.16968400938164,no internet access
Stokes County,2019,no internet access,1.0,36.4019121769314,-80.23951953897095,no internet access
Guilford County,2019,with an internet subscription,1.0,36.08075443459913,-79.78823235399412,with an internet subscription
Robeson County,2019,with an internet subscription - dial-up with no other type of internet subscription,0.67,34.64024635950607,-79.10387160625888,dialup
Robeson County,2019,with an internet subscription - other service with no other type of internet subscription,1.0,34.64024635950607,-79.10387160625888,with an internet subscription - other service with no other type of internet subscription
Wake County,2019,with an internet subscription - cellular data plan,1.0,35.79031905938475,-78.65028589163481,with an internet subscription - cellular data plan
Pender County,2019,with an internet subscription - satellite internet service,1.0,34.52487363212925,-77.90517580706157,satellite
Watauga County,2019,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,36.23111335577298,-81.69642797757918,satellite
Mitchell County,2017,estimate - total - with an internet subscription - broadband of any type,1.0,36.013210021060225,-82.16358484600214,estimate - total - with an internet subscription - broadband of any type
Craven County,2017,estimate - total - with an internet subscription - satellite internet service,1.0,35.117737469020454,-77.08207331956487,satellite
Granville County,2017,estimate - total - with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,36.30407790862547,-78.65272169631768,satellite
Mecklenburg County,2017,estimate - total - with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,35.24647326538168,-80.8326243427789,satellite
Yancey County,2019,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.89895543291077,-82.30763213148511,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Onslow County,2019,with an internet subscription,1.0,34.730596145351825,-77.42738408968984,with an internet subscription
Yadkin County,2019,internet access without a subscription,1.0,36.16053995623957,-80.66524692905888,internet access without a subscription
Burke County,2019,internet access without a subscription,1.0,35.7496512088578,-81.70485353540755,internet access without a subscription
Edgecombe County,2019,internet access without a subscription,1.0,35.91288649121048,-77.59706485605385,internet access without a subscription
Henderson County,2019,internet access without a subscription,1.0,35.33626273962702,-82.47996574212274,internet access without a subscription
Iredell County,2019,with an internet subscription - other service with no other type of internet subscription,0.9,35.80670124468856,-80.87349698665774,with an internet subscription - other service with no other type of internet subscription
Northampton County,2019,no internet access,1.0,36.4177400865127,-77.3968293347197,no internet access
Currituck County,2019,with an internet subscription,1.0,36.36252824248771,-75.96355912337177,with an internet subscription
Wilkes County,2019,"with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,36.20629529914747,-81.16336399921859,fiber
Wilkes County,2019,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,36.20629529914747,-81.16336399921859,fiber
Warren County,2019,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,36.396516724483234,-78.1067192799684,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Warren County,2019,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,0.83,36.396516724483234,-78.1067192799684,satellite
Stokes County,2019,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,36.4019121769314,-80.23951953897095,fiber
Stokes County,2019,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,36.4019121769314,-80.23951953897095,satellite
Pasquotank County,2019,with an internet subscription - satellite internet service,1.0,36.26386298574299,-76.24813716698364,satellite
Columbus County,2019,no internet access,1.0,34.26565549168028,-78.65501030724411,no internet access
Richmond County,2019,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.00605304510937,-79.74778109248616,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Davidson County,2019,total households,1.0,35.79336247841037,-80.21275205358242,total households
Davidson County,2019,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.79336247841037,-80.21275205358242,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Halifax County,2019,with an internet subscription - broadband of any type,1.0,36.25745439418376,-77.65173448562224,with an internet subscription - broadband of any type
Alamance County,2022,total households,1.0,36.0436940612818,-79.39943396848538,total households
Beaufort County,2022,with an internet subscription - broadband of any type,1.0,35.48688258260614,-76.84505336233535,with an internet subscription - broadband of any type
Bertie County,2022,with an internet subscription - other service with no other type of internet subscription,0.12,36.0656374787016,-76.96671441379404,with an internet subscription - other service with no other type of internet subscription
Caswell County,2022,no internet access,1.0,36.39328046214458,-79.33352583013493,no internet access
Chowan County,2022,"with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,36.12656326708592,-76.60213354311976,fiber
Duplin County,2022,no internet access,1.0,34.93654168662893,-77.9330278458104,no internet access
Greene County,2022,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,35.48498900615431,-77.67577990432923,fiber
Henderson County,2022,with an internet subscription - broadband of any type,1.0,35.33626273962702,-82.47996574212274,with an internet subscription - broadband of any type
Johnston County,2022,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,35.51781367396539,-78.3657086914579,satellite
Johnston County,2022,with an internet subscription - other service with no other type of internet subscription,0.43,35.51781367396539,-78.3657086914579,with an internet subscription - other service with no other type of internet subscription
Nash County,2022,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.967258453786435,-77.98644805042225,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Pitt County,2022,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.59330602553121,-77.37449869440185,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Polk County,2022,total households,1.0,35.27928721249203,-82.16968400938164,total households
Scotland County,2022,with an internet subscription - other service with no other type of internet subscription,0.07,34.840893407900495,-79.48043375103512,with an internet subscription - other service with no other type of internet subscription
Tyrrell County,2022,total households,1.0,35.870275075845306,-76.17287041421518,total households
Washington County,2022,with an internet subscription,1.0,35.836733131244564,-76.57243148147666,with an internet subscription
Wayne County,2022,with an internet subscription - other service with no other type of internet subscription,0.37,35.36396757993098,-78.00399613059446,with an internet subscription - other service with no other type of internet subscription
Wilson County,2017,estimate - total - no internet access,1.0,35.70515284756749,-77.91866576695642,estimate - total - no internet access
Martin County,2017,estimate - total - with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.843220874283126,-77.10923496711742,estimate - total - with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Perquimans County,2017,estimate - total - with an internet subscription - satellite internet service,1.0,36.177231517796926,-76.40763686851571,satellite
Cumberland County,2017,estimate - total - no internet access,1.0,35.048616925792395,-78.82756016065333,estimate - total - no internet access
Wake County,2017,estimate - total - internet access without a subscription,1.0,35.79031905938475,-78.65028589163481,estimate - total - internet access without a subscription
Yancey County,2017,estimate - total - no internet access,1.0,35.89895543291077,-82.30763213148511,estimate - total - no internet access
Macon County,2017,estimate - total,1.0,35.15047513307057,-83.42218354400369,estimate - total
Macon County,2017,estimate - total - with an internet subscription - cellular data plan,1.0,35.15047513307057,-83.42218354400369,estimate - total - with an internet subscription - cellular data plan
Macon County,2017,estimate - total - with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,35.15047513307057,-83.42218354400369,satellite
Person County,2017,"estimate - total - with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,36.3901024868091,-78.97180766140136,fiber
Columbus County,2017,estimate - total - with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,34.26565549168028,-78.65501030724411,satellite
Rutherford County,2017,estimate - total - with an internet subscription - broadband of any type,1.0,35.40260116153093,-81.91983462247912,estimate - total - with an internet subscription - broadband of any type
Tyrrell County,2017,"estimate - total - with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,35.870275075845306,-76.17287041421518,fiber
Brunswick County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,34.07086241620411,-78.23739864048864,fiber
Caldwell County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,35.95305206058291,-81.54643672188453,fiber
Carteret County,2021,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,34.8964664939643,-76.53941511160514,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Carteret County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,34.8964664939643,-76.53941511160514,fiber
Cleveland County,2021,internet access without a subscription,1.0,35.334091523772315,-81.5555404227367,internet access without a subscription
Currituck County,2021,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,0.66,36.36252824248771,-75.96355912337177,satellite
Davidson County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,35.79336247841037,-80.21275205358242,fiber
Guilford County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,36.08075443459913,-79.78823235399412,fiber
Jackson County,2021,with an internet subscription - satellite internet service,1.0,35.28759449222261,-83.14085400351321,satellite
Lee County,2021,total households,1.0,35.475191953202334,-79.17148780684427,total households
Nash County,2021,with an internet subscription - broadband of any type,1.0,35.967258453786435,-77.98644805042225,with an internet subscription - broadband of any type
Nash County,2021,with an internet subscription - other service with no other type of internet subscription,0.08,35.967258453786435,-77.98644805042225,with an internet subscription - other service with no other type of internet subscription
Orange County,2021,no internet access,1.0,36.06112067259299,-79.12065214660528,no internet access
Pitt County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,35.59330602553121,-77.37449869440185,fiber
Robeson County,2021,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,34.64024635950607,-79.10387160625888,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Vance County,2021,with an internet subscription - cellular data plan,1.0,36.36492348951896,-78.40793088034256,with an internet subscription - cellular data plan
Warren County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,36.396516724483234,-78.1067192799684,fiber
Watauga County,2021,no internet access,1.0,36.23111335577298,-81.69642797757918,no internet access
Stanly County,2019,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.311947325488994,-80.25097713783076,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Onslow County,2019,no internet access,1.0,34.730596145351825,-77.42738408968984,no internet access
