edu_school_name,edu_county,edu_rate,grade_span,county_norm,name_norm,reason
Triangle Math and Science Academy,Wake,0.0594,KG:12,wake,triangle math and science academy,best fuzzy score 57 below threshold 85
Longleaf School of the Arts,Wake,0.2185,9:12,wake,longleaf of the arts,best fuzzy score 50 below threshold 85
Wake Forest Charter Academy,Wake,0.0597,KG:08,wake,wake forest charter academy,best fuzzy score 65 below threshold 85
Cardinal Charter Academy,Wake,0.1182,KG:08,wake,cardinal charter academy,best fuzzy score 58 below threshold 85
Northside K-8,Warren,0.317,PK:08,warren,northside k 8,best fuzzy score 61 below threshold 85
Warren County Schools,Warren,0.2974,,warren,warren county schools,best fuzzy score 77 below threshold 85
Haliwa-Saponi Tribal School,Warren,0.3161,KG:12,warren,haliwa saponi tribal,best fuzzy score 35 below threshold 85
Hope Charter Leadership Academy,Wake,0.3716,KG:05,wake,hope charter leadership academy,best fuzzy score 55 below threshold 85
PAVE Southeast Raleigh Charter,Wake,0.2131,KG:04,wake,pave southeast raleigh charter,best fuzzy score 73 below threshold 85
PreEminent Charter,Wake,0.2,KG:08,wake,preeminent charter,best fuzzy score 69 below threshold 85
Raleigh Charter High School,Wake,0.1428,9:12,wake,raleigh charter high,best fuzzy score 59 below threshold 85
White Oak Elementary,Wake,0.0565,P2:05,wake,white oak elementary,best fuzzy score 80 below threshold 85
Wake County Schools,Wake,0.1274,,wake,wake county schools,best fuzzy score 54 below threshold 85
Franklin Academy,Wake,0.0519,KG:12,wake,franklin academy,best fuzzy score 59 below threshold 85
East Wake Academy,Wake,0.0822,KG:12,wake,east wake academy,best fuzzy score 62 below threshold 85
Torchlight Academy,Wake,0.3802,KG:08,wake,torchlight academy,best fuzzy score 59 below threshold 85
Raleigh Oak Charter,Wake,0.3054,KG:04,wake,raleigh oak charter,best fuzzy score 53 below threshold 85
Grantham Elementary,Wayne,0.1581,KG:04,wayne,grantham elementary,best fuzzy score 77 below threshold 85
Grantham Middle,Wayne,0.1925,5:08,wayne,grantham middle,best fuzzy score 70 below threshold 85
Washington County High,Washington,0.2847,9:12,washington,washington county high,best fuzzy score 84 below threshold 85
Washington County Middle,Washington,0.26,6:08,washington,washington county middle,best fuzzy score 81 below threshold 85
Washington County Schools,Washington,0.2109,,washington,washington county schools,best fuzzy score 79 below threshold 85
Watauga Innovation Academy,Watauga,0.114,9:12,watauga,watauga innovation academy,best fuzzy score 47 below threshold 85
Watauga County Schools,Watauga,0.1121,,watauga,watauga county schools,best fuzzy score 53 below threshold 85
Two Rivers Community School,Watauga,0.1077,KG:08,watauga,two rivers community,best fuzzy score 38 below threshold 85
Bethany Community  School,Rockingham,0.1852,6:10,rockingham,bethany community,best fuzzy score 69 below threshold 85
Thomas Jefferson Class Academy,Rutherford,0.0736,KG:12,rutherford,thomas jefferson class academy,best fuzzy score 41 below threshold 85
Abbotts Creek Elementary,Wake,0.0628,P2:05,wake,abbotts creek elementary,best fuzzy score 78 below threshold 85
Mountain Discovery,Swain,0.1878,KG:08,swain,mountain discovery,best fuzzy score 48 below threshold 85
T C Henderson,Transylvania,0.1214,P0:05,transylvania,t c henderson,best fuzzy score 70 below threshold 85
