trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,229,11,14:09:00,14:09:00,0,5448.2
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,229,11,10:09:00,10:09:00,0,5448.2
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,229,11,15:09:00,15:09:00,0,5448.2
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,229,11,09:09:00,09:09:00,0,5448.2
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,229,11,17:09:00,17:09:00,0,5448.2
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,229,11,11:09:00,11:09:00,0,5448.2
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,229,11,13:09:00,13:09:00,0,5448.2
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,229,11,12:09:00,12:09:00,0,5448.2
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,230,12,16:09:00,16:09:00,0,5818.0
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,230,12,14:09:00,14:09:00,0,5818.0
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,230,12,10:09:00,10:09:00,0,5818.0
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,230,12,15:09:00,15:09:00,0,5818.0
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,230,12,09:09:00,09:09:00,0,5818.0
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,230,12,17:09:00,17:09:00,0,5818.0
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,230,12,11:09:00,11:09:00,0,5818.0
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,230,12,13:09:00,13:09:00,0,5818.0
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,230,12,12:09:00,12:09:00,0,5818.0
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,231,13,16:10:00,16:10:00,0,6404.38
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,231,13,14:10:00,14:10:00,0,6404.38
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,231,13,10:10:00,10:10:00,0,6404.38
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,231,13,15:10:00,15:10:00,0,6404.38
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,231,13,09:10:00,09:10:00,0,6404.38
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,231,13,17:10:00,17:10:00,0,6404.38
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,231,13,11:10:00,11:10:00,0,6404.38
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,231,13,13:10:00,13:10:00,0,6404.38
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,231,13,12:10:00,12:10:00,0,6404.38
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,1203776,14,16:11:00,16:11:00,0,6626.88
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,1203776,14,14:11:00,14:11:00,0,6626.88
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,1203776,14,10:11:00,10:11:00,0,6626.88
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,1203776,14,15:11:00,15:11:00,0,6626.88
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,1203776,14,09:11:00,09:11:00,0,6626.88
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,1203776,14,17:11:00,17:11:00,0,6626.88
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,1203776,14,11:11:00,11:11:00,0,6626.88
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,1203776,14,13:11:00,13:11:00,0,6626.88
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,1203776,14,12:11:00,12:11:00,0,6626.88
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,1203779,15,16:11:00,16:11:00,0,6940.49
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,1203779,15,14:11:00,14:11:00,0,6940.49
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,1203779,15,10:11:00,10:11:00,0,6940.49
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,1203779,15,15:11:00,15:11:00,0,6940.49
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,1203779,15,09:11:00,09:11:00,0,6940.49
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,1203779,15,17:11:00,17:11:00,0,6940.49
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,1203779,15,11:11:00,11:11:00,0,6940.49
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,1203779,15,13:11:00,13:11:00,0,6940.49
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,1203779,15,12:11:00,12:11:00,0,6940.49
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,1203778,16,16:12:00,16:12:00,0,9100.41
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,1203778,16,14:12:00,14:12:00,0,9100.41
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,1203778,16,10:12:00,10:12:00,0,9100.41
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,1203778,16,15:12:00,15:12:00,0,9100.41
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,1203778,16,09:12:00,09:12:00,0,9100.41
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,1203778,16,17:12:00,17:12:00,0,9100.41
