stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"38","Howard St / Hardin St","36.215606689453125","-81.67478942871094","81",,,,"0","",,
"36","ASU Skywalk","36.21227264404297","-81.67963409423828","23",,,,"0","",,
"35","Kangaroo Express","36.208011627197266","-81.67230224609375","95",,,,"0","",,
"34","University Hall Drive","36.20293426513672","-81.6644058227539","127",,,,"0","",,
"33","Walmart 1","36.19804763793945","-81.65872192382812","132",,,,"0","",,
"32","College Place","36.19792175292969","-81.66279602050781","46",,,,"0","",,
"31","Bavarian Village","36.19984436035156","-81.66395568847656","32",,,,"0","",,
"30","Boone Mall","36.203514099121094","-81.66619110107422","45",,,,"0","",,
"29","McDonalds","36.20663833618164","-81.67127227783203","97",,,,"0","",,
"28","Highland Avenue","36.2090950012207","-81.67361450195312","71",,,,"0","",,
"27","ASU Convocation Center","36.2109375","-81.67520141601562","12",,,,"0","",,
"26","ASU Garwood Hall","36.21305465698242","-81.68165588378906","9",,,,"0","",,
"25","ASU Walker Hall / Bodenheimer Drive","36.21702194213867","-81.68515014648438","28",,,,"0","",,
"24","ASU Living Learning Center (down)","36.2162971496582","-81.68737030029297","14",,,,"0","",,
"23","Greenwood Lot","36.214481353759766","-81.68909454345703","66",,,,"0","",,
"21","ASU Mountaineer Hall","36.21603775024414","-81.6886215209961","17",,,,"0","",,
"20","South Lot / Baseball Stadium","36.212337493896484","-81.69361114501953","123",,,,"0","",,
"37","ASU College St Station","36.21570587158203","-81.67964172363281","11",,,,"0","",,
"125","CCC&TI","36.21567916870117","-81.71674346923828","44",,,,"0","",,
"9","ASU College of Health Sciences","36.20124053955078","-81.65235900878906","CHS",,,,"0","",,
"62","Cottages of Boone 3","36.20326232910156","-81.70382690429688","47",,,,"0","",,
"89","Village at Meadowview","36.19465637207031","-81.65796661376953","131",,,,"0","",,
"84","Hodges Gap Rd","36.20937728881836","-81.70649719238281","75",,,,"0","",,
"133","King St / Old 421 (Speedway)","36.21978759765625","-81.6568374633789","151",,,,"0","",,
"134","Poplar Grove Connector Parking Lot","36.220489501953125","-81.69156646728516","152",,,,"0","",,
"22","Top of  Bodenheimer (down)","36.21480941772461","-81.69235229492188","125",,,,"0","",,
"121","Kensington Trail","36.22919845581055","-81.71800231933594","88",,,,"0","",,
"13","AppalCART","36.22806930541992","-81.71939086914062","4",,,,"0","",,
"83","University Highlands","36.20936584472656","-81.70318603515625","128",,,,"0","",,
"135","Bub Teems Rd","36.220359802246094","-81.64112091064453","153",,,,"0","",,
"136","Homestead Recovery","36.205806732177734","-81.6964111328125","154",,,,"0","",,
"66","Studio West","36.20174026489258","-81.6834716796875","124",,,,"0","",,
"59","Hodges Creek","36.201904296875","-81.67948913574219","105",,,,"0","",,
"137","Peacock Traffic Circle(UPDATED","36.21682357788086","-81.68285369873047","P(1)",,,,"0","",,
"16","ASU Peacock Traffic Circle","36.2158317565918","-81.68216705322266","20",,,,"0","",,
