route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,block_service_id,block_name
"10","36","3148","POP 105 After 6:15","Inbound","13:42:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3149","POP 105 After 6:15","Inbound","13:12:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3150","POP 105 After 6:15","Inbound","12:42:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3151","POP 105 After 6:15","Inbound","12:12:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3140","POP 105 After 6:15","Inbound","17:42:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3141","POP 105 After 6:15","Inbound","17:12:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3142","POP 105 After 6:15","Inbound","16:42:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3143","POP 105 After 6:15","Inbound","16:12:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3144","POP 105 After 6:15","Inbound","15:42:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3145","POP 105 After 6:15","Inbound","15:12:00-21","0","61",,,"1105","Sun - POP 105"
"10","57","3132","POP 105 After 6:15","Inbound","18:42:00-21","0","60",,,"1106","POP 105 After 6"
"10","57","3133","POP 105 After 6:15","Inbound","18:12:00-21","0","60",,,"1106","POP 105 After 6"
"10","36","3136","POP 105 After 6:15","Inbound","19:42:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3137","POP 105 After 6:15","Inbound","19:12:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3138","POP 105 After 6:15","Inbound","18:42:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3139","POP 105 After 6:15","Inbound","18:12:00-21","0","61",,,"1105","Sun - POP 105"
"10","35","3126","POP 105 After 6:15","Inbound","12:12:00-21","0","59",,,"1104","Sat - POP 105"
"10","57","3127","POP 105 After 6:15","Inbound","21:12:00-21","0","60",,,"1106","POP 105 After 6"
"10","57","3128","POP 105 After 6:15","Inbound","20:42:00-21","0","60",,,"1106","POP 105 After 6"
"10","57","3129","POP 105 After 6:15","Inbound","20:12:00-21","0","60",,,"1106","POP 105 After 6"
"10","57","3130","POP 105 After 6:15","Inbound","19:42:00-21","0","60",,,"1106","POP 105 After 6"
"10","57","3131","POP 105 After 6:15","Inbound","19:12:00-21","0","60",,,"1106","POP 105 After 6"
"10","35","3120","POP 105 After 6:15","Inbound","15:12:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3121","POP 105 After 6:15","Inbound","14:42:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3122","POP 105 After 6:15","Inbound","14:12:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3123","POP 105 After 6:15","Inbound","13:42:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3124","POP 105 After 6:15","Inbound","13:12:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3125","POP 105 After 6:15","Inbound","12:42:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3113","POP 105 After 6:15","Inbound","11:12:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3114","POP 105 After 6:15","Inbound","11:42:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3116","POP 105 After 6:15","Inbound","17:12:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3117","POP 105 After 6:15","Inbound","16:42:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3118","POP 105 After 6:15","Inbound","16:12:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3119","POP 105 After 6:15","Inbound","15:42:00-21","0","59",,,"1104","Sat - POP 105"
"10","57","3107","POP 105 After 6:15","Inbound","12:02:00-21","0","58",,,"1103","Break - POP 105"
"10","35","3108","POP 105 After 6:15","Inbound","8:42:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3109","POP 105 After 6:15","Inbound","9:12:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3110","POP 105 After 6:15","Inbound","9:42:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3111","POP 105 After 6:15","Inbound","10:12:00-21","0","59",,,"1104","Sat - POP 105"
"10","35","3112","POP 105 After 6:15","Inbound","10:42:00-21","0","59",,,"1104","Sat - POP 105"
"10","57","3101","POP 105 After 6:15","Inbound","15:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3102","POP 105 After 6:15","Inbound","14:32:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3103","POP 105 After 6:15","Inbound","14:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3104","POP 105 After 6:15","Inbound","13:32:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3105","POP 105 After 6:15","Inbound","13:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3106","POP 105 After 6:15","Inbound","12:32:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3095","POP 105 After 6:15","Inbound","18:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3096","POP 105 After 6:15","Inbound","17:32:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3097","POP 105 After 6:15","Inbound","17:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3098","POP 105 After 6:15","Inbound","16:32:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3099","POP 105 After 6:15","Inbound","16:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3100","POP 105 After 6:15","Inbound","15:32:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3089","POP 105 After 6:15","Inbound","09:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3090","POP 105 After 6:15","Inbound","08:32:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3091","POP 105 After 6:15","Inbound","08:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3092","POP 105 After 6:15","Inbound","19:32:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3093","POP 105 After 6:15","Inbound","19:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3094","POP 105 After 6:15","Inbound","18:32:00-21","0","58",,,"1103","Break - POP 105"
"10","57","2914","POP 105 Before 6:15","Inbound","17:50:00-11","0","30",,,"1102","POP 105 2"
"10","57","3084","POP 105 After 6:15","Inbound","11:32:00-21","0","58",,,"1103","Break - POP 105"
