stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
11343,11343,Jones Franklin Rd at Dillard Dr,,35.753036,-78.731442,0,0
11341,11341,Jones Franklin Rd at Almanac Dr,,35.749969,-78.734987,0,0
11339,11339,Jones Franklin Rd at Tryon Rd (SB),,35.746069,-78.737807,0,0
11433,11433,Tryon Manor Dr at Tryon Springs Rd,,35.747353,-78.745744,0,0
11435,11435,Tryon Manor Dr at Woodfield Lake Rd,,35.749901,-78.746508,0,0
9322,9322,Western Blvd at Jones Franklin,Western Blvd at Jones Franklin Rd,35.785207,-78.720693,0,0
1383,1383,Buck Jones Rd at Xebec Way,,35.7836248447671,-78.7236881985478,0,0
1789,1789,Buck Jones Rd at Chesthill Dr,,35.78146,-78.727406,0,0
1386,1386,Buck Jones Rd at Barclay Dr ,,35.778345,-78.731499,0,0
1385,1385,Buck Jones Rd at Farm Gate Rd (WB),,35.773779,-78.735896,0,0
1380,1380,Buck Jones Rd at Nottingham Dr (WB),,35.768813,-78.740815,0,0
1388,1388,Nottingham Dr at Buck Jones Rd (WB),,35.76781,-78.741828,0,0
1389,1389,Nottingham Dr at Harlon Dr,,35.767446,-78.74644,0,0
1377,1377,Donaldson Dr at  Hamilton Ct,,35.765469,-78.748753,0,0
11350,11350,Walnut St at Cary Towne Blvd (WB),,35.775752,-78.768265,0,0
11352,11352,Walnut St at  Ralph Dr (WB),,35.778016,-78.771285,0,0
11126,11126,W Chatham St at W Park St (SB),,35.785711,-78.791278,0,0
11220,11220,High House Rd at W Chatham St (WB),,35.78296,-78.793735,0,0
11700,11700,High House Rd at Highland Village Dr (WB),,35.783476,-78.796918,0,0
11701,11701,Old Apex Rd at NW Maynard Rd (WB),,35.776819,-78.805181,0,0
11702,11702,Old Apex Rd at Young Landing Ct,,35.773124,-78.806993,0,0
11703,11703,Old Apex Rd at Chatham St (SB),,35.770864,-78.807733,0,0
11704,11704,Old Apex Rd at SW Cary Pkwy,,35.762306,-78.82138,0,0
11705,11705,N Salem St at All Wheel Dr,,35.747797,-78.851992,0,0
16009,16009,N Salem St at Apex Peakway (SB),,35.740682,-78.849079,0,0
11371,11371,N Salem St at Hunter St (SB),,35.736205,-78.849074,0,0
16095,16095,Center St at N Salem St,,35.732284,-78.849915,0,0
11092,11092,S Academy St at Charlie Gaddy Ln,S Academy St. at Charlie Gaddy Ln,35.783962,-78.78132,0,0
11331,11331,Walnut St at Walker St (EB),,35.782435,-78.778745,0,0
11333,11333,Walnut St at Ralph Dr (EB),,35.777897,-78.77147,0,0
11335,11335,Walnut St at Cary Towne Blvd (EB),,35.775356,-78.767706,0,0
1390,1390,Donaldson Dr at Patrick Cir,,35.765479,-78.748571,0,0
11027,11027,Nottingham Dr at Karen Ct,,35.767313,-78.746295,0,0
1585,1585,Nottingham Dr at Buck Jones Rd (EB),,35.767659,-78.741768,0,0
1379,1379,Buck Jones Rd at Nottingham Dr (EB),,35.7682,-78.740705,0,0
1381,1381,Buck Jones Rd at Farm Gate Rd,Buck Jones Rd at Farm Gate Rd ,35.7725178165744,-78.7373138211556,0,0
9060,9060,Buck Jones Rd at Bashford Rd ,,35.776515,-78.73236,0,0
9061,9061,Buck Jones Rd at Portree Pl,,35.77974,-78.729855,0,0
9325,9325,Buck Jones Rd at Wilmot Dr,,35.781676,-78.726698,0,0
9062,9062,Buck Jones Rd at Fieldspring Ln,,35.783414,-78.723799,0,0
9063,9063,Jones Franklin Rd at Buck Jones Rd,,35.784033,-78.721804,0,0
16033,16033,Olive Chapel Rd at Western Wake Crisis Ministry,,35.736816,-78.890137,0,0
16035,16035,Kelly Rd at Publix Pointe (NB),,35.738028,-78.895671,0,0
16037,16037,Beaver Creek Commons Dr at Diamond Dove Ln (EB),,35.740821,-78.893927,0,0
16039,16039,Beaver Creek Comm Dr at Beaver Crk Crossings W,,35.745216,-78.888646,0,0
16041,16041,Beaver Creek Commons Dr at Regal Cinemas,,35.747255,-78.883581,0,0
16043,16043,Beaver Creek Comm Dr at Beaver Crk Grnway (EB),,35.746706,-78.878278,0,0
16045,16045,"Beaver Creek Commons Dr at Lowe's (EB)",,35.745468,-78.874547,0,0
1731,1731,W Williams St at Haddon Hall Dr (SB),,35.743802,-78.871002,0,0
16049,16049,W Williams St at Healthplex Way (SB),,35.740806,-78.867814,0,0
1723,1723,W Williams St at Apex Peakway (SB),,35.738247,-78.865063,0,0
1447,1447,W Williams St at Olive Chapel Rd (SB),,35.736155,-78.863075,0,0
16055,16055,W Williams St at Bryan Dr (Post Office),,35.733557,-78.861665,0,0
16057,16057,W Williams St at Upchurch St,,35.728588,-78.857491,0,0
16059,16059,E Williams St at Salem St,,35.727216,-78.854493,0,0
16061,16061,E Williams St at S Hughes St (Park and Ride (SB)),,35.726105,-78.851297,0,0
16063,16063,E Williams St at Apex Village Center (SB),,35.724946,-78.848173,0,0
16065,16065,E Williams St at Perry Rd,,35.720795,-78.843994,0,0
16067,16067,E Williams St at Apex Peakway,,35.71916,-78.843082,0,0
1183,1183,Apex Peakway at S Hughes St (Cambridge Village),,35.717491,-78.844572,0,0
16071,16071,Apex Peakway at Norris Park,,35.714045,-78.850733,0,0
16073,16073,Apex Peakway at Shackleton Rd,,35.714521,-78.855948,0,0
16075,16075,Tingen Rd at Baberton Dr,,35.716528,-78.857636,0,0
16077,16077,Tingen Rd at Peace Haven Pl,,35.717794,-78.856513,0,0
16079,16079,Tingen Rd at Sparta Ln,,35.720186,-78.855802,0,0
16081,16081,James St at Germaine St,,35.72266,-78.852845,0,0
16083,16083,James St at E Williams St,,35.723031,-78.846483,0,0
